PUML Macro (Name),PUML IMPORT
AmazonMechanicalTurk,!include <aws/OnDemandWorkforce/AmazonMechanicalTurk/AmazonMechanicalTurk>
assignmenttask,!include <aws/OnDemandWorkforce/AmazonMechanicalTurk/assignmenttask/assignmenttask>
humanintelligencetasks,!include <aws/OnDemandWorkforce/AmazonMechanicalTurk/humanintelligencetasks/humanintelligencetasks>
requester,!include <aws/OnDemandWorkforce/AmazonMechanicalTurk/requester/requester>
workers,!include <aws/OnDemandWorkforce/AmazonMechanicalTurk/workers/workers>
Android,!include <aws/SDKs/Android/Android>
AWSCLI,!include <aws/SDKs/AWSCLI/AWSCLI>
AWSToolkitForEclipse,!include <aws/SDKs/AWSToolkitForEclipse/AWSToolkitForEclipse>
AWSToolkitForVisualStudio,!include <aws/SDKs/AWSToolkitForVisualStudio/AWSToolkitForVisualStudio>
AWSToolsForWindowsPowerShell,!include <aws/SDKs/AWSToolsForWindowsPowerShell/AWSToolsForWindowsPowerShell>
iOS,!include <aws/SDKs/iOS/iOS>
Java,!include <aws/SDKs/Java/Java>
JavaScript,!include <aws/SDKs/JavaScript/JavaScript>
Net,!include <aws/SDKs/Net/Net>
Nodejs,!include <aws/SDKs/Nodejs/Nodejs>
PHP,!include <aws/SDKs/PHP/PHP>
Python,!include <aws/SDKs/Python/Python>
Ruby,!include <aws/SDKs/Ruby/Ruby>
Xamarin,!include <aws/SDKs/Xamarin/Xamarin>
certificatemanager,!include <aws/SecurityIdentityCompliance/ACM/certificatemanager/certificatemanager>
AmazonCloudDirectory,!include <aws/SecurityIdentityCompliance/AmazonCloudDirectory/AmazonCloudDirectory>
AmazonInspector,!include <aws/SecurityIdentityCompliance/AmazonInspector/AmazonInspector>
agent,!include <aws/SecurityIdentityCompliance/AmazonInspector/agent/agent>
AmazonMacie,!include <aws/SecurityIdentityCompliance/AmazonMacie/AmazonMacie>
AWSArtifact,!include <aws/SecurityIdentityCompliance/AWSArtifact/AWSArtifact>
AWSCertificateManager,!include <aws/SecurityIdentityCompliance/AWSCertificateManager/AWSCertificateManager>
AWSCloudHSM,!include <aws/SecurityIdentityCompliance/AWSCloudHSM/AWSCloudHSM>
AWSDirectoryService,!include <aws/SecurityIdentityCompliance/AWSDirectoryService/AWSDirectoryService>
AWSIAM,!include <aws/SecurityIdentityCompliance/AWSIAM/AWSIAM>
addon,!include <aws/SecurityIdentityCompliance/AWSIAM/addon/addon>
AWSSTS,!include <aws/SecurityIdentityCompliance/AWSIAM/AWSSTS/AWSSTS>
AWSSTS_2,!include <aws/SecurityIdentityCompliance/AWSIAM/AWSSTS_2/AWSSTS_2>
dataencryptionkey,!include <aws/SecurityIdentityCompliance/AWSIAM/dataencryptionkey/dataencryptionkey>
encrypteddata,!include <aws/SecurityIdentityCompliance/AWSIAM/encrypteddata/encrypteddata>
AWSKMS,!include <aws/SecurityIdentityCompliance/AWSKMS/AWSKMS>
AWSOrganizations,!include <aws/SecurityIdentityCompliance/AWSOrganizations/AWSOrganizations>
AWSShield,!include <aws/SecurityIdentityCompliance/AWSShield/AWSShield>
AWSWAF,!include <aws/SecurityIdentityCompliance/AWSWAF/AWSWAF>
filteringrule,!include <aws/SecurityIdentityCompliance/AWSWAF/filteringrule/filteringrule>
long_termsecuritycredential,!include <aws/SecurityIdentityCompliance/IAM/long_termsecuritycredential/long_termsecuritycredential>
MFAtoken,!include <aws/SecurityIdentityCompliance/IAM/MFAtoken/MFAtoken>
role,!include <aws/SecurityIdentityCompliance/IAM/role/role>
temporarysecuritycredential,!include <aws/SecurityIdentityCompliance/IAM/temporarysecuritycredential/temporarysecuritycredential>
AmazonEBS,!include <aws/Storage/AmazonEBS/AmazonEBS>
AmazonEFS,!include <aws/Storage/AmazonEFS/AmazonEFS>
EFSfilesystem,!include <aws/Storage/AmazonEFS/EFSfilesystem/EFSfilesystem>
AmazonGlacier,!include <aws/Storage/AmazonGlacier/AmazonGlacier>
archive,!include <aws/Storage/AmazonGlacier/archive/archive>
vault,!include <aws/Storage/AmazonGlacier/vault/vault>
AmazonS3,!include <aws/Storage/AmazonS3/AmazonS3>
bucket,!include <aws/Storage/AmazonS3/bucket/bucket>
bucketwithobjects,!include <aws/Storage/AmazonS3/bucketwithobjects/bucketwithobjects>
object,!include <aws/Storage/AmazonS3/object/object>
AWSStorageGateway,!include <aws/Storage/AWSStorageGateway/AWSStorageGateway>
cachedvolume,!include <aws/Storage/AWSStorageGateway/cachedvolume/cachedvolume>
non_cachedvolume,!include <aws/Storage/AWSStorageGateway/non_cachedvolume/non_cachedvolume>
virtualtapelibrary,!include <aws/Storage/AWSStorageGateway/virtualtapelibrary/virtualtapelibrary>
snapshot,!include <aws/Storage/snapshot/snapshot>
volume,!include <aws/Storage/volume/volume>
