PUML Macro (Name),PUML IMPORT
AzureStorage,!include <azure/Storage/AzureStorage>
AzureStorageClassic,!include <azure/Storage/AzureStorageClassic>
AzureStorageContainer,!include <azure/Storage/AzureStorageContainer>
AzureStorSimple,!include <azure/Storage/AzureStorSimple>
AzureAdvancedTools,!include <azure/Web/AzureAdvancedTools>
AzureAPIManagement,!include <azure/Web/AzureAPIManagement>
AzureAppServiceCertificate,!include <azure/Web/AzureAppServiceCertificate>
AzureAppServiceDomain,!include <azure/Web/AzureAppServiceDomain>
AzureCDN,!include <azure/Web/AzureCDN>
AzureContainerSettings,!include <azure/Web/AzureContainerSettings>
AzureCORS,!include <azure/Web/AzureCORS>
AzureDeploymentCredentials,!include <azure/Web/AzureDeploymentCredentials>
AzureLogStream,!include <azure/Web/AzureLogStream>
AzureProperties,!include <azure/Web/AzureProperties>
AzureQuota,!include <azure/Web/AzureQuota>
AzureSearch,!include <azure/Web/AzureSearch>
AzureSignalRService,!include <azure/Web/AzureSignalRService>
AzureWebApp,!include <azure/Web/AzureWebApp>
